District,Incumbent,Party,Biden,Trump,Total,Biden%,Trump%
AK-AL,Mary Peltola,(R),"153,778","189,951","357,569",43.00%,53.10%
AL-01,Jerry Carl,(R),"117,136","211,370","331,886",35.30%,63.70%
AL-02,Barry Moore,(R),"107,776","195,953","306,714",35.10%,63.90%
AL-03,Mike Rogers,(R),"109,495","212,012","324,741",33.70%,65.30%
AL-04,Robert Aderholt,(R),"57,133","260,535","320,725",17.80%,81.20%
AL-05,Mo Brooks,(R),"129,812","228,398","364,107",35.70%,62.70%
AL-06,Gary Palmer,(R),"117,582","248,134","370,171",31.80%,67.00%
AL-07,Terri Sewell,(D),"210,689","84,768","297,626",70.80%,28.50%
AR-01,Rick Crawford,(R),"75,898","187,640","271,712",27.90%,69.10%
AR-02,French Hill,(R),"147,552","177,053","333,347",44.30%,53.10%
AR-03,Steve Womack,(R),"118,142","207,781","335,854",35.20%,61.90%
AR-04,Bruce Westerman,(R),"82,340","188,173","278,156",29.60%,67.70%
AZ-01,Tom O'Halleran,(D),"187,182","180,673","373,579",50.10%,48.40%
AZ-02,Ann Kirkpatrick,(D),"213,408","171,803","391,436",54.50%,43.90%
AZ-03,Raúl Grijalva,(D),"174,882","99,539","278,497",62.80%,35.70%
AZ-04,Paul Gosar,(R),"126,024","280,122","411,938",30.60%,68.00%
AZ-05,Andy Biggs,(R),"195,270","262,810","465,598",41.90%,56.40%
AZ-06,David Schweikert,(R),"204,365","222,166","432,328",47.30%,51.40%
AZ-07,Ruben Gallego,(D),"165,129","55,436","224,168",73.70%,24.70%
AZ-08,Debbie Lesko,(R),"181,691","251,443","438,952",41.40%,57.30%
AZ-09,Greg Stanton,(D),"224,192","137,694","368,798",60.80%,37.30%
CA-01,Doug LaMalfa,(R),"148,436","203,557","360,907",41.10%,56.40%
CA-02,Jared Huffman,(D),"294,489","95,658","399,857",73.60%,23.90%
CA-03,John Garamendi,(D),"179,806","139,735","327,612",54.90%,42.70%
CA-04,Tom McClintock,(R),"197,157","240,869","448,596",43.90%,53.70%
CA-05,Mike Thompson,(D),"264,125","92,100","364,567",72.40%,25.30%
CA-06,Doris Matsui,(D),"225,218","87,284","320,576",70.30%,27.20%
CA-07,Ami Bera,(D),"218,137","164,052","391,993",55.60%,41.90%
CA-08,Jay Obernolte,(R),"127,769","158,451","293,165",43.60%,54.00%
CA-09,Jerry McNerney,(D),"180,100","124,102","310,973",57.90%,39.90%
CA-10,Josh Harder,(D),"154,990","146,084","307,948",50.30%,47.40%
CA-11,Mark DeSaulnier,(D),"285,019","90,516","383,481",74.30%,23.60%
CA-12,Nancy Pelosi,(D),"337,517","46,574","392,046",86.10%,11.90%
CA-13,Barbara Lee,(D),"335,474","33,907","377,198",88.90%,9.00%
CA-14,Jackie Speier,(D),"279,708","73,798","360,155",77.70%,20.50%
CA-15,Eric Swalwell,(D),"255,430","94,394","357,230",71.50%,26.40%
CA-16,Jim Costa,(D),"129,458","85,647","220,032",58.80%,38.90%
CA-17,Ro Khanna,(D),"224,903","79,260","310,238",72.50%,25.50%
CA-18,Anna Eshoo,(D),"294,545","82,172","385,683",76.40%,21.30%
CA-19,Zoe Lofgren,(D),"228,232","91,063","325,914",70.00%,27.90%
CA-20,Jimmy Panetta,(D),"226,505","77,969","311,479",72.70%,25.00%
CA-21,David Valadao,(R),"93,560","74,859","172,064",54.40%,43.50%
CA-22,Connie Conway,(R),"146,467","163,584","316,729",46.20%,51.60%
CA-23,Kevin McCarthy,(R),"125,068","176,413","308,922",40.50%,57.10%
CA-24,Salud Carbajal,(D),"221,831","134,810","365,325",60.70%,36.90%
CA-25,Mike Garcia,(R),"188,421","153,161","349,249",54.00%,43.90%
CA-26,Julia Brownley,(D),"216,840","128,914","353,297",61.40%,36.50%
CA-27,Judy Chu,(D),"226,666","104,088","337,460",67.20%,30.80%
CA-28,Adam Schiff,(D),"252,705","97,112","356,476",70.90%,27.20%
CA-29,Tony Cárdenas,(D),"186,796","59,671","252,103",74.10%,23.70%
CA-30,Brad Sherman,(D),"258,910","110,935","376,861",68.70%,29.40%
CA-31,Pete Aguilar,(D),"174,178","115,221","296,238",58.80%,38.90%
CA-32,Grace Napolitano,(D),"184,978","93,155","283,909",65.20%,32.80%
CA-33,Ted Lieu,(D),"285,906","120,287","414,262",69.00%,29.00%
CA-34,Jimmy Gomez,(D),"193,874","40,552","239,944",80.80%,16.90%
CA-35,Norma Torres,(D),"166,339","83,352","255,345",65.10%,32.60%
CA-36,Raul Ruiz,(D),"173,573","131,304","310,310",55.90%,42.30%
CA-37,Karen Bass,(D),"275,573","45,202","326,798",84.30%,13.80%
CA-38,Linda Sánchez,(D),"207,000","101,867","315,673",65.60%,32.30%
