,State,Year,District,Dem Votes,GOP Votes,D Voteshare,Party,total_votes,net_wasted_votes,total_districts,state_total_dem_votes,state_total_gop_votes,state_total_votes,state_net_wasted_votes,efficiency_gap,dem_state_voteshare,dem_state_seatshare
0,AL,1948,1,19778,0,1.0,D,19778,9888,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
1,AL,1948,2,21271,0,1.0,D,21271,10635,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
2,AL,1948,3,16279,0,1.0,D,16279,8139,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
3,AL,1948,4,17282,3054,0.8498229740000001,D,20336,4059,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
4,AL,1948,5,20548,0,1.0,D,20548,10273,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
5,AL,1948,6,13968,2994,0.823487796,D,16962,2492,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
6,AL,1948,7,21552,0,1.0,D,21552,10775,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
7,AL,1948,8,19060,2510,0.883634678,D,21570,5764,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
8,AL,1948,9,33781,5006,0.8709361379999999,D,38787,9381,9.0,183519.0,13564.0,197083.0,71406.0,0.36,0.93,1.0
9,AZ,1948,1,42565,29864,0.587678968,D,72429,-23514,2.0,96631.0,60004.0,156635.0,-41692.0,-0.27,0.62,1.0
10,AZ,1948,2,54066,30140,0.642068261,D,84206,-18178,2.0,96631.0,60004.0,156635.0,-41692.0,-0.27,0.62,1.0
18,CA,1948,1,72584,85122,0.460248817,R,157706,66316,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
19,CA,1948,2,78555,0,1.0,D,78555,39277,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
20,CA,1948,3,0,166571,0.0,R,166571,-83285,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
21,CA,1948,4,73704,68875,0.516934471,D,142579,-66461,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
22,CA,1948,5,0,116347,0.0,R,116347,-58173,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
23,CA,1948,6,194985,0,1.0,D,194985,97492,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
24,CA,1948,7,74318,78534,0.486208882,R,152852,72211,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
25,CA,1948,8,0,161743,0.0,R,161743,-80871,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
26,CA,1948,9,72826,66563,0.513,D,139389,-63432,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
27,CA,1948,10,0,67448,0.0,R,67448,-33723,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
28,CA,1948,11,0,87143,0.0,R,87143,-43571,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
29,CA,1948,12,0,141509,0.0,R,141509,-70754,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
30,CA,1948,13,56624,62951,0.473543801,R,119575,53461,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
31,CA,1948,14,89581,44611,0.667558424,D,134192,-22127,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
32,CA,1948,15,0,131933,0.0,R,131933,-65966,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
33,CA,1948,16,91268,121198,0.429565201,R,212466,76304,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
34,CA,1948,17,194782,0,1.0,D,194782,97390,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
35,CA,1948,18,105687,92721,0.532675094,D,198408,-86239,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
36,CA,1948,19,72900,28698,0.71753381,D,101598,-6598,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
37,CA,1948,20,0,204710,0.0,R,204710,-102354,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
38,CA,1948,21,61383,47411,0.5642130999999999,D,108794,-40426,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
39,CA,1948,22,0,115697,0.0,R,115697,-57848,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
40,CA,1948,23,112534,87138,0.563594295,D,199672,-74441,23.0,1351731.0,1976923.0,3328654.0,-453818.0,-0.14,0.41,0.43
41,CO,1948,1,106096,57541,0.648361923,D,163637,-33264,4.0,272484.0,224927.0,497411.0,-62703.0,-0.13,0.55,0.75
42,CO,1948,2,66579,71868,0.4808988279999999,R,138447,63935,4.0,272484.0,224927.0,497411.0,-62703.0,-0.13,0.55,0.75
43,CO,1948,3,65114,63312,0.5070157129999999,D,128426,-62412,4.0,272484.0,224927.0,497411.0,-62703.0,-0.13,0.55,0.75
44,CO,1948,4,34695,32206,0.518602114,D,66901,-30962,4.0,272484.0,224927.0,497411.0,-62703.0,-0.13,0.55,0.75
45,CT,1948,1,127802,103294,0.5530255820000001,D,231096,-91041,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
46,CT,1948,2,69339,64916,0.516472385,D,134255,-62705,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
47,CT,1948,3,84449,83310,0.503394751,D,167759,-82741,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
48,CT,1948,4,92618,117727,0.440314721,R,210345,80064,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
49,CT,1948,5,58300,62804,0.481404413,R,121104,56049,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
50,CT,1948,98,429348,433311,0.497703032,R,862659,427367,6.0,861856.0,865362.0,1727218.0,326993.0,0.19,0.5,0.5
51,FL,1948,1,66348,0,1.0,D,66348,33173,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
52,FL,1948,2,55715,5413,0.911448109,D,61128,19737,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
53,FL,1948,3,30730,0,1.0,D,30730,15364,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
54,FL,1948,4,63665,14912,0.8102243659999999,D,78577,9464,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
55,FL,1948,5,46939,19501,0.706487056,D,66440,-5783,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
56,FL,1948,6,31933,15977,0.666520559,D,47910,-8000,6.0,295330.0,55803.0,351133.0,63955.0,0.18,0.84,1.0
67,ID,1948,1,46846,41404,0.530832861,D,88250,-38684,2.0,105852.0,103094.0,208946.0,18981.0,0.09,0.51,0.5
68,ID,1948,2,59006,61690,0.488881156,R,120696,57665,2.0,105852.0,103094.0,208946.0,18981.0,0.09,0.51,0.5
69,IL,1948,1,98690,43034,0.696353476,D,141724,-15207,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
70,IL,1948,2,91648,85119,0.518467814,D,176767,-81855,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
71,IL,1948,3,91204,81175,0.52908997,D,172379,-76161,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
72,IL,1948,4,89557,82310,0.521083163,D,171867,-78687,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
73,IL,1948,5,114660,43610,0.724458204,D,158270,-8086,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
74,IL,1948,6,127918,53548,0.7049144190000001,D,181466,-16364,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
75,IL,1948,7,133199,47602,0.736716058,D,180801,-4804,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
76,IL,1948,8,101098,54316,0.650507676,D,155414,-30926,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
77,IL,1948,9,91271,73301,0.554596165,D,164572,-64317,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
78,IL,1948,10,78533,109031,0.41869975,R,187564,63285,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
79,IL,1948,11,80750,78269,0.507800955,D,159019,-77029,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
80,IL,1948,12,88795,98956,0.4729402239999999,R,187751,83715,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
81,IL,1948,13,58340,123978,0.319990347,R,182318,25522,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
82,IL,1948,14,44050,94962,0.316879118,R,139012,18595,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
83,IL,1948,15,57296,74213,0.435681208,R,131509,48838,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
84,IL,1948,16,54481,76840,0.414868909,R,131321,43302,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
85,IL,1948,17,42226,71220,0.37221233,R,113446,27730,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
86,IL,1948,18,56688,61652,0.479026534,R,118340,54207,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
87,IL,1948,19,59397,69733,0.459978316,R,129130,54230,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
88,IL,1948,20,52235,59067,0.4693087279999999,R,111302,48820,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
89,IL,1948,21,69619,61452,0.53115487,D,131071,-57369,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
90,IL,1948,22,56893,64625,0.4681857829999999,R,121518,53028,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
91,IL,1948,23,53885,57800,0.482473027,R,111685,51928,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
92,IL,1948,24,56262,57732,0.493552292,R,113994,55528,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
93,IL,1948,25,101927,44728,0.6950121029999999,D,146655,-16129,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
94,IL,1948,26,51028,54993,0.481300874,R,106021,49046,26.0,2001650.0,1823266.0,3824916.0,150840.0,0.04,0.52,0.46
95,IN,1948,1,78898,50194,0.611176525,D,129092,-35843,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
96,IN,1948,2,57245,71907,0.443237426,R,129152,49915,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
97,IN,1948,3,86382,78935,0.522523394,D,165317,-75212,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
98,IN,1948,4,66689,63403,0.512629524,D,130092,-61761,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
99,IN,1948,5,91861,82730,0.526149687,D,174591,-78165,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
100,IN,1948,6,65931,66414,0.4981752239999999,R,132345,65690,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
101,IN,1948,7,74396,62855,0.54204341,D,137251,-57085,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
102,IN,1948,8,89990,71634,0.556786121,D,161624,-62457,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
103,IN,1948,9,55333,59787,0.480654969,R,115120,53107,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
104,IN,1948,10,67081,76036,0.4687144079999999,R,143117,62604,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
105,IN,1948,11,103046,98451,0.511402155,D,201497,-96154,11.0,836852.0,782346.0,1619198.0,-235361.0,-0.15,0.52,0.64
106,IA,1948,1,60860,70959,0.461693686,R,131819,55811,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
107,IA,1948,2,70272,82139,0.461069083,R,152411,64339,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
108,IA,1948,3,56002,78838,0.4153218629999999,R,134840,44585,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
109,IA,1948,4,49894,53384,0.483103856,R,103278,48150,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
110,IA,1948,5,57370,60103,0.48836754,R,117473,56004,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
111,IA,1948,6,43997,55641,0.441568478,R,99638,38176,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
112,IA,1948,7,44857,59173,0.431192925,R,104030,37700,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
113,IA,1948,8,45796,56970,0.44563377,R,102766,40210,8.0,429048.0,517207.0,946255.0,384975.0,0.41,0.45,0.0
114,KS,1948,1,44711,68395,0.395301752,R,113106,32870,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
115,KS,1948,2,63431,68324,0.481431445,R,131755,60985,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
116,KS,1948,3,38391,46935,0.449933197,R,85326,34120,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
117,KS,1948,4,70778,88605,0.4440749639999999,R,159383,61865,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
118,KS,1948,5,41614,77160,0.350362874,R,118774,23842,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
119,KS,1948,6,40553,55013,0.4243454789999999,R,95566,33324,6.0,299478.0,404432.0,703910.0,247006.0,0.35,0.43,0.0
120,KY,1948,1,50720,0,1.0,D,50720,25359,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
121,KY,1948,2,54586,31527,0.633888031,D,86113,-19998,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
122,KY,1948,3,64877,74168,0.4665899529999999,R,139045,60232,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
123,KY,1948,4,45538,31062,0.594490862,D,76600,-23825,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
124,KY,1948,5,47518,24240,0.662197943,D,71758,-12602,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
125,KY,1948,6,60659,39251,0.6071364229999999,D,99910,-28548,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
126,KY,1948,7,39788,26007,0.6047268029999999,D,65795,-19117,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
127,KY,1948,8,52328,34127,0.605262854,D,86455,-25027,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
128,KY,1948,9,0,60309,0.0,R,60309,-30154,9.0,416014.0,320691.0,736705.0,-73680.0,-0.1,0.56,0.78
129,LA,1948,1,36748,0,1.0,D,36748,18373,8.0,308239.0,13437.0,321676.0,133958.0,0.42,0.96,1.0
130,LA,1948,2,61316,0,1.0,D,61316,30657,8.0,308239.0,13437.0,321676.0,133958.0,0.42,0.96,1.0
